student_id,name,class,comprehension,attention,focus,retention,engagement_time,assessment_score,cluster,persona
1,Student_001,C,59.8,75.7,75.7,69.7,36.4,68.8,0,Engaged High Achiever
2,Student_002,D,51.8,71.7,54.4,62.6,56.8,60.3,0,Engaged High Achiever
3,Student_003,A,64.6,59.6,69.5,73.6,13.0,53.8,3,Distracted Low Engagement
4,Student_004,C,80.3,82.4,49.3,59.8,54.2,64.8,0,Engaged High Achiever
5,Student_005,C,72.6,48.8,59.6,77.3,85.5,61.5,2,Steady Learner
6,Student_006,D,55.1,74.2,72.5,48.5,17.7,56.9,3,Distracted Low Engagement
7,Student_007,A,72.1,73.9,45.7,67.6,48.8,63.8,0,Engaged High Achiever
8,Student_008,A,74.6,60.4,74.2,91.2,31.8,76.2,3,Distracted Low Engagement
9,Student_009,C,59.4,69.9,67.7,53.0,53.5,66.0,0,Engaged High Achiever
10,Student_010,B,71.8,46.2,75.7,57.2,45.4,51.2,2,Steady Learner
11,Student_011,C,70.7,78.9,71.1,72.7,32.2,71.4,3,Distracted Low Engagement
12,Student_012,C,56.3,62.2,87.1,68.3,54.8,70.8,1,Needs Attention
13,Student_013,C,74.3,57.2,69.8,70.6,81.1,67.5,2,Steady Learner
14,Student_014,C,76.7,80.7,62.0,72.4,41.2,75.1,0,Engaged High Achiever
15,Student_015,D,83.0,54.4,69.7,74.3,59.4,78.6,2,Steady Learner
16,Student_016,A,82.6,43.9,75.6,80.4,19.1,70.0,3,Distracted Low Engagement
17,Student_017,D,53.5,41.7,68.7,71.3,25.9,53.7,3,Distracted Low Engagement
18,Student_018,D,58.7,74.1,68.6,62.9,54.4,68.3,0,Engaged High Achiever
19,Student_019,D,76.2,45.8,58.2,74.7,74.7,61.8,2,Steady Learner
20,Student_020,C,76.2,91.3,58.7,90.7,52.1,73.8,0,Engaged High Achiever
21,Student_021,B,76.2,33.8,48.4,64.3,38.7,50.4,2,Steady Learner
22,Student_022,A,100.0,90.4,92.5,53.3,45.0,90.7,1,Needs Attention
23,Student_023,B,76.9,68.2,50.6,80.4,20.0,58.4,3,Distracted Low Engagement
24,Student_024,D,83.6,63.5,58.3,64.4,57.1,74.3,2,Steady Learner
25,Student_025,D,81.4,56.8,57.9,37.8,62.6,62.0,2,Steady Learner
26,Student_026,B,77.8,71.0,80.5,77.0,36.0,62.2,1,Needs Attention
27,Student_027,B,66.2,64.4,63.9,59.0,35.6,61.6,3,Distracted Low Engagement
28,Student_028,B,79.1,81.5,85.5,64.8,50.3,60.9,1,Needs Attention
29,Student_029,D,60.7,66.7,58.6,70.3,36.3,62.7,3,Distracted Low Engagement
30,Student_030,D,67.2,67.3,71.9,68.5,43.7,69.1,3,Distracted Low Engagement
31,Student_031,A,64.2,59.5,56.3,75.2,87.0,57.5,2,Steady Learner
32,Student_032,A,71.0,64.1,98.0,60.3,40.1,68.7,1,Needs Attention
33,Student_033,D,97.8,69.6,51.4,72.7,37.8,81.5,3,Distracted Low Engagement
34,Student_034,B,47.6,39.3,72.3,62.6,32.0,46.5,3,Distracted Low Engagement
35,Student_035,B,78.2,44.8,76.9,75.6,59.9,58.0,2,Steady Learner
36,Student_036,A,50.6,76.1,73.8,74.0,41.4,71.0,0,Engaged High Achiever
37,Student_037,D,64.3,67.6,65.4,53.8,32.0,70.7,3,Distracted Low Engagement
38,Student_038,A,83.1,62.2,66.2,80.1,71.4,69.3,2,Steady Learner
39,Student_039,A,70.8,65.3,68.6,59.0,73.4,69.9,2,Steady Learner
40,Student_040,C,57.1,70.2,65.9,76.5,33.0,69.0,3,Distracted Low Engagement
41,Student_041,C,61.4,56.9,81.5,70.8,7.7,55.5,3,Distracted Low Engagement
42,Student_042,C,78.2,53.3,98.9,89.9,65.2,70.4,1,Needs Attention
43,Student_043,B,61.2,67.9,60.2,63.1,31.3,65.8,3,Distracted Low Engagement
44,Student_044,D,72.6,50.3,48.8,61.5,60.8,66.5,2,Steady Learner
45,Student_045,D,70.5,71.1,66.8,65.7,5.6,65.8,3,Distracted Low Engagement
46,Student_046,D,62.2,39.5,100.0,62.1,62.9,55.7,1,Needs Attention
47,Student_047,D,95.7,80.4,56.7,76.4,20.8,84.6,3,Distracted Low Engagement
48,Student_048,C,77.6,72.1,90.9,45.0,59.6,66.0,1,Needs Attention
49,Student_049,B,45.7,68.8,91.5,52.3,45.3,57.3,1,Needs Attention
50,Student_050,B,72.2,79.7,60.2,52.1,25.9,64.8,0,Engaged High Achiever
51,Student_051,C,62.1,90.0,76.0,78.4,36.9,79.2,0,Engaged High Achiever
52,Student_052,B,80.2,80.2,90.8,88.2,58.7,83.6,1,Needs Attention
53,Student_053,C,60.5,37.4,62.7,64.6,47.1,54.6,2,Steady Learner
54,Student_054,D,68.6,45.8,65.1,63.8,56.7,60.3,2,Steady Learner
55,Student_055,C,76.1,55.6,59.9,66.9,84.5,63.2,2,Steady Learner
56,Student_056,D,80.4,65.4,53.8,81.1,13.7,67.4,3,Distracted Low Engagement
57,Student_057,D,55.6,72.8,58.9,53.9,77.3,43.4,0,Engaged High Achiever
58,Student_058,A,66.0,54.1,50.9,69.1,47.1,54.4,2,Steady Learner
59,Student_059,C,64.3,67.8,68.5,78.7,27.0,64.5,3,Distracted Low Engagement
60,Student_060,A,62.2,53.7,57.2,72.5,18.4,48.4,3,Distracted Low Engagement
61,Student_061,C,91.2,55.8,71.3,68.5,41.2,70.2,3,Distracted Low Engagement
62,Student_062,C,74.9,43.9,46.2,79.0,63.4,56.5,2,Steady Learner
63,Student_063,A,54.9,51.2,72.6,30.9,42.4,61.1,2,Steady Learner
64,Student_064,A,81.0,44.7,79.7,74.8,75.2,75.8,2,Steady Learner
65,Student_065,C,95.5,50.4,40.1,57.5,16.0,55.9,3,Distracted Low Engagement
66,Student_066,B,82.4,80.8,73.2,42.2,44.8,67.2,1,Needs Attention
67,Student_067,D,51.8,50.8,85.2,72.6,20.0,56.7,3,Distracted Low Engagement
68,Student_068,A,64.2,100.0,51.1,83.9,52.3,67.0,0,Engaged High Achiever
69,Student_069,D,85.2,72.4,91.4,64.2,62.7,75.9,1,Needs Attention
70,Student_070,B,61.5,67.8,73.9,78.4,36.6,59.2,3,Distracted Low Engagement
71,Student_071,B,75.3,52.1,58.1,87.0,0.0,53.5,3,Distracted Low Engagement
72,Student_072,B,79.3,75.5,67.2,83.1,49.0,74.8,0,Engaged High Achiever
73,Student_073,A,58.9,56.4,75.8,87.3,53.7,66.5,3,Distracted Low Engagement
74,Student_074,B,69.3,66.8,69.1,75.6,53.1,60.5,0,Engaged High Achiever
75,Student_075,A,31.1,100.0,75.5,67.0,69.7,68.3,0,Engaged High Achiever
76,Student_076,B,57.7,63.6,55.1,45.2,23.6,48.4,3,Distracted Low Engagement
77,Student_077,D,67.0,82.2,70.4,62.8,58.6,68.6,0,Engaged High Achiever
78,Student_078,D,55.0,54.5,48.2,55.0,68.9,56.4,2,Steady Learner
79,Student_079,C,89.6,64.5,66.4,94.2,9.4,70.7,3,Distracted Low Engagement
80,Student_080,D,52.8,91.6,55.3,63.7,51.4,64.7,0,Engaged High Achiever
81,Student_081,C,64.7,55.6,57.7,67.6,34.9,53.6,3,Distracted Low Engagement
82,Student_082,D,71.6,92.2,85.3,73.2,43.4,73.5,1,Needs Attention
83,Student_083,A,87.3,75.6,83.3,66.6,52.0,73.1,1,Needs Attention
84,Student_084,D,52.8,56.6,76.5,88.0,35.3,55.8,3,Distracted Low Engagement
85,Student_085,C,84.0,74.5,52.7,57.9,31.5,63.5,3,Distracted Low Engagement
86,Student_086,C,70.1,79.6,63.6,68.5,45.7,56.9,0,Engaged High Achiever
87,Student_087,B,58.2,74.3,85.0,56.3,23.3,59.7,1,Needs Attention
88,Student_088,A,75.5,41.4,70.0,48.8,23.3,53.8,3,Distracted Low Engagement
89,Student_089,D,72.4,54.1,100.0,58.0,58.6,65.3,1,Needs Attention
90,Student_090,B,62.8,61.3,73.5,65.5,22.0,58.3,3,Distracted Low Engagement
91,Student_091,D,70.8,63.9,70.7,60.4,58.3,63.0,2,Steady Learner
92,Student_092,D,65.4,74.3,63.7,57.0,54.3,65.1,0,Engaged High Achiever
93,Student_093,B,71.4,67.7,69.9,47.7,10.5,65.2,3,Distracted Low Engagement
94,Student_094,B,77.9,45.0,65.9,64.9,31.4,55.2,3,Distracted Low Engagement
95,Student_095,B,89.0,70.7,77.9,46.4,68.9,63.2,1,Needs Attention
